2021-02-05/23:10:27		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:28		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:29		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:30		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:31		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:32		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:32		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:32		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:33		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:33		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:33		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:33		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:34		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:34		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:34		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:35		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:35		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:35		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:35		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:35		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:35		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:36		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:36		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:36		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:36		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:36		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:36		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:36		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:37		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:37		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:37		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:37		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:37		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:37		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:37		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:38		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:38		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:38		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:38		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:38		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:38		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:39		 wafer_13012020_090817.csv: File loaded successfully!!
2021-02-05/23:10:39		 wafer_13012020_090817.csv: File loaded successfully!!
