2021-02-05/23:07:45		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-05/23:07:47		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-05/23:07:47		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-05/23:07:49		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-05/23:07:51		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-05/23:07:52		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-05/23:07:53		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-05/23:07:56		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-05/23:07:57		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-02-14/14:10:11		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-14/14:10:12		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-14/14:10:13		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-14/14:10:14		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-14/14:10:15		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-14/14:10:16		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-14/14:10:17		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-14/14:10:18		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-14/14:10:19		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-02-14/16:03:35		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-02-14/16:03:36		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-02-14/16:03:37		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-02-14/16:03:38		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-02-14/16:03:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-02-14/16:03:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-02-14/16:03:39		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-02-14/16:03:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-02-14/16:03:41		 wafer_29012020_050617.csv: File Transformed successfully!!
